Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
NICKEL INDUSTRIES LTD,BZ7NDP2,"5,564,548","4,590,752",0.08%
NIDEC CORP,6640682,885,"25,958",0.00%
NIHON KOHDEN CORP NPV,6639970,"1,391","30,817",0.00%
NIKE INC CL B,2640147,"22,089","2,699,668",0.04%
NINE ENTERTAINMENT CO HOLDIN NPV,BGQV183,"4,230,432","5,224,584",0.09%
NINESTAR CORP-A,BD5M2G1,"10,034","62,182",0.00%
NINGBO SHANSHAN CO LTD-A,BP3RF63,"98,700","161,768",0.00%
NINTENDO CORP LTD,6639550,"24,061","2,290,698",0.04%
NIPPON BUILDING FUND INC REIT,6396800,11,"13,889",0.00%
NIPPON PAINT HOLDINGS CO LTD,6640507,"1,201","12,631",0.00%
NIPPON SANSO HOLDINGS CORP,6640541,30,"1,383",0.00%
NIPPON STEEL CORP,6642569,878,"28,727",0.00%
NIPPON TELEGRAPH & TELEPHONE ORD,6641373,"31,687","51,452",0.00%
NIPPON TELEVISION HOLDINGS INC,6644060,"7,786","219,833",0.00%
NIPPON YUSEN KK,6643960,340,"18,435",0.00%
NISOURCE INC COM,2645409,352,"20,928",0.00%
NISSAN MOTOR CO LTD,6642860,"2,167","10,690",0.00%
NISSIN FOODS HOLDINGS CO LTD,6641760,495,"19,459",0.00%
NITORI CO LTD,6644800,71,"13,686",0.00%
NITTO DENKO CORP,6641801,594,"16,350",0.00%
NMC HEALTH PLC ORD GBP0.10,GB00B7FC0762,55,"1,037",0.00%
NN GROUP NV - W/I NN GROUP NV - W/I,BNG8PQ9,449,"31,592",0.00%
NOBLE CORP PLC,BN2QTL0,"28,973","1,469,338",0.02%
NOKIA OYJ,5902941,"6,115","43,716",0.00%
NOMAD FOODS LTD NOMD,BQFJGK5,"64,329","1,743,417",0.03%
NOMURA HOLDINGS INC SHS,6643108,"99,982","956,912",0.02%
NOMURA RESEARCH INSTITUTE,6390921,496,"23,768",0.00%
NORDEA BANK ABP NDA,BFM0SV9,"3,993","70,127",0.00%
NORDSON CORP COM NPV,2641838,38,"12,679",0.00%
NORFOLK SOUTHERN CORP COM,2641894,232,"87,824",0.00%
NORSK HYDRO ASA,B11HK39,"1,759","15,646",0.00%
NORTHAM PLATINUM HOLDINGS LT,BMZ1NS0,"72,170","601,717",0.01%
Northcape Capital Australia,MXP320321310 (ISIN),"454,357","6,271,613",0.10%
NORTHERN STAR RESOURCES LTD,6717456,"672,189","10,378,597",0.17%
NORTHERN TR CORP COM,2648668,329,"54,385",0.00%
NOVARTIS AG-REG SHS,7103065,"2,120","335,186",0.01%
NOVATEK OAO RUB0.1(USD),B19MY34,"4,933",0,0.00%
NOVO NORDISK A/S-B,BP6KMJ1,"3,441","481,689",0.01%
NOVONESIS (NOVOZYMES) B,B798FW0,443,"40,547",0.00%
NOVONIX LTD,BYZ6CM6,"115,279","84,730",0.00%
NRG ENERGY INC COM USD0.01,2212922,239,"34,804",0.00%
NRW HOLDINGS LTD,B23XW70,"393,399","1,510,652",0.03%
NTT DATA GROUP CORP,6125639,804,"25,035",0.00%
NU HOLDINGS LTD/CAYMAN ISL-A,BN6NP19,"227,912","3,813,559",0.06%
NUCOR CORP COM,2651086,256,"48,279",0.00%
NUFARM LIMITED NUFARM LIMITED,6335331,"3,082,615","10,912,458",0.18%
NUIX LTD,BMW7P63,"1,803","11,393",0.00%
NUTANIX INC - A NTNX,BYQBFT8,266,"26,295",0.00%
NUTRIEN LTD,BDRJLN0,463,"33,450",0.00%
NVIDIA CORP,2379504,"145,916","31,648,223",0.53%
NVR INC,2637785,3,"36,447",0.00%
NXP SEMICONDUCTORS NV,B505PN7,266,"89,305",0.00%
O.S.K. HOLDINGS BHD SHS,6655040,"1,046,626","672,920",0.01%
OAO GAZPROM-SPON ADR ADR REP 4 ORD RUB5,5140989,"6,946",0,0.00%
OBAYASHI CORP Y50,6656407,"1,401","30,137",0.00%
OBIC CO LTD,6136749,"25,728","1,240,834",0.02%
OBJECTIVE CORPORATION LTD OCL,6283407,"33,898","538,300",0.01%
OCCIDENTAL PETE CORP D COM,2655408,"22,948","1,831,284",0.03%
OCEANPAL INC,BRJVJ16,30,56,0.00%
OCEANPAL INC,MHY6430L2029 (ISIN),31,"21,358",0.00%
ODFJELL DRILLING LTD ODL,BDX87W2,"74,901","546,429",0.01%
ODONTOPREV S.A. COM NPV,B1H6R62,"162,720","461,997",0.01%
OFFSHORE OIL ENGINEERING-A,BP3R455,"126,921","152,735",0.00%
OFX GROUP LTD,BFG1Q58,"388,775","550,117",0.01%
OKAMOTO INDUSTRIES INC NPV,6657767,"4,029","237,651",0.00%
OKTA INC OKTA,BDFZSP1,141,"17,908",0.00%
OLD DOMIN FRGHT USD0.1,2656423,"5,876","1,674,050",0.03%
OLYMPUS CORP,6658801,"1,171","28,521",0.00%
OMNI BRIDGEWAY LTD-PLACEMENT,BM95XH7,"257,933","374,003",0.01%
OMNICOM GROUP INC COM,2279303,183,"25,401",0.00%
OMRON CORPORATION,6659428,213,"11,706",0.00%
OMV AG,4651459,223,"13,952",0.00%
ON SEMICONDUCTOR,2583576,422,"43,018",0.00%
ONEOK INC COM,2130109,586,"94,965",0.00%
ONEX CORP SUB VTG,2659518,"26,984","3,402,422",0.06%
ONO PHARMACEUTICAL CO LTD,6660107,370,"6,217",0.00%
OOH!MEDIA LTD OML,BSXN8D0,"1,397,196","1,648,692",0.03%
OPEN TEXT CORP COM,2260824,383,"17,517",0.00%
OPEN UP GROUP INC,B1XC021,"13,173","242,601",0.00%
OPTHEA LTD OPT,BYQ3YX1,"833,882","675,445",0.01%
OPTIMA BANK SA,BL571C1,"9,170","198,447",0.00%
ORA BANDA MINING LTD OBM,BKDX544,"7,158,438","4,652,985",0.08%
ORACLE CORP COM,2661568,"20,128","5,417,191",0.09%
ORACLE CORPORATION JAPAN ORACLE CORPORAT,6141680,27,"4,165",0.00%
ORANGE,5176177,"1,828","29,439",0.00%
OREILLY AUTO NEW,B65LWX6,61,"116,988",0.00%
ORICA LTD,6458001,"701,375","11,628,792",0.19%
ORIENTAL LAND CO LTD,6648891,"1,040","36,578",0.00%
ORIGIN ENERGY LTD,6214861,"1,579,428","17,215,769",0.29%
ORION CORP SER'B'NPV,B17NY40,271,"19,385",0.00%
ORIX CORP ORD,6661144,"1,172","41,059",0.00%
ORKLA BORREGARD AS ORD CL A,B1VQF42,401,"5,615",0.00%
ORORA LTD,BH4TCW7,"3,089,161","7,599,337",0.13%
ORSTED A/S,BYT16L4,240,"17,474",0.00%
OSAKA GAS CO LTD,6661768,267,"9,505",0.00%
OTIS WORLDWIDE CORP-W/I,BK531S8,448,"67,008",0.00%
OTSUKA CORP NPV,6267058,216,"8,013",0.00%
OTSUKA HOLDINGS CO LTD NPV,B5LTM93,411,"36,345",0.00%
OVERSEA-CHINESE BANKING CORP,B0F9V20,"2,892","57,154",0.00%
OVINTIV INC,BJ01KB6,214,"14,017",0.00%
OVS SPA,BW0D7R8,"181,768","1,032,986",0.02%
OWENS CORNING INC COM STK USD0.01,B1FW7Q2,126,"34,622",0.00%
PACCAR INC COM,2665861,551,"92,558",0.00%
PACIFIC BASIN SHIPPING LTD,B01RQM3,"3,331,191","1,135,902",0.02%
PACKAGING CORP OF AMERICA COM,2504566,79,"28,863",0.00%
PALADIN ENERGY LTD,6668468,"172,375","1,303,157",0.02%
PALANTIR TECHNOLOGIES INC-A,BN78DQ4,"2,214","270,436",0.00%
PALO ALTO NETWORKS INC PALO ALTO NETWORK,B87ZMX0,686,"201,535",0.00%
PAN AMERICAN SILVER CORP COM NPV,2669272,507,"16,569",0.00%
PAN PACIFIC INTERNATIONAL HOLDINGS CORP,6269861,338,"14,979",0.00%
PANASONIC HOLDINGS CORP,6572707,"2,511","42,391",0.00%
PANDORA A/S DKK1,B44XTX8,115,"33,866",0.00%
PANTORO LTD,6210289,"5,056,093","455,048",0.01%
PARAGON BANKING GROUP PLC,B2NGPM5,"65,638","987,151",0.02%
PARKER HANNIFIN CORP,2671501,130,"133,192",0.00%
PARKLAND CORP,BLFHPV8,257,"9,367",0.00%
PARTNERS GROUP HOLDING AG,B119QG0,"1,086","2,380,358",0.04%
PAYCHEX INC COM,2674458,339,"76,704",0.00%
PAYCOM SOFTWARE INC PAYC,BL95MY0,65,"21,562",0.00%
PAYLOCITY HOLDING CORP PCTY,BKM4N88,"7,347","2,366,974",0.04%
PAYPAL HOLDINGS INC,BYW36M8,"7,573","1,043,888",0.02%
PB FINTECH LTD,INE417T01026 (ISIN),"44,316","1,762,998",0.03%
PDD HOLDINGS INC,BYVW0F7,"36,395","5,701,316",0.09%
PEABODY ENERGY CORP BTU,BDVPZV0,"39,244","1,327,251",0.02%
PEARSON PLC ORD,677608,919,"23,825",0.00%
PEET LTD NPV,B01QLP8,"1,205,126","1,753,458",0.03%
PEMBINA PIPELINE CORP COM NPV,B4PT2P8,369,"21,999",0.00%
PENTAIR PLC,BLS09M3,132,"21,446",0.00%
PEPSICO INC COM,2681511,"1,430","351,303",0.01%
PERENTI LTD,BKRKNV4,"202,558","282,569",0.00%
PERMANENT TSB GROUP HOLDINGS IPM,BWB8X52,"110,950","267,204",0.00%
PERMIAN BASIN ROYALTY TRUST UNITS OF BNF,2681964,"7,814","139,836",0.00%
PERNOD RICARD ACT,4682329,475,"86,571",0.00%
PERPETUAL TRUSTEES AUSTRALIA,6682394,787,"15,656",0.00%
PERSEUS MINING LTD NPV,B02FBC1,"360,958","927,661",0.02%
PERSIMMON,682538,371,"8,979",0.00%
PET VALU HOLDINGS LTD,BKY8LF1,"68,486","1,941,231",0.03%
PETRA DIAMONDS LTD-DI,BNYNCZ4,"33,325","20,897",0.00%
PETRO RIO SA PRIO3,BYY0144,"78,003","818,778",0.01%
PETROBRAS - PETROLEO BRAS COM NPV,2682365,"75,068","773,447",0.01%
PETROCHINA CO LTD-A,BP3R206,"356,116","700,403",0.01%
PETROCHINA CO LTD-H,6226576,"408,092","518,438",0.01%
PETRONAS CHEMICALS GROUP BHD,B5KQGT3,"656,436","1,225,842",0.02%
PEXA GROUP LTD,BMD0WJ3,"54,349","709,803",0.01%
PFIZER INC COM,2684703,"6,006","257,356",0.00%
PG&E CORP COM,2689560,"1,940","63,223",0.00%
PHILIP MORRIS INTERNAT NPV,B2PKRQ3,"54,559","10,605,231",0.18%
PHILIPS LIGHTING NV,BYY7VY5,"66,526","2,401,010",0.04%
PHILLIPS 66 COM USD0.01,B78C4Y8,485,"89,329",0.00%
PHOENIX GROUP HOLDINGS PLC PHNX,BGXQNP2,254,"2,619",0.00%
PICC HOLDING CO-A,BDFS9G8,"123,382","206,837",0.00%
PIEDMONT LITHIUM LTD,BF1CV51,"1,258,497","182,482",0.00%
PILBARA MINERALS LTD PLS,B2368L5,"3,366,905","7,373,521",0.12%
PINEWOOD TECHNOLOGIES GROUP,BSB7BS0,"102,941","747,530",0.01%
PING AN BANK CO LTD-A,BD5CPS4,660,"1,700",0.00%
PING AN INSURANCE GROUP CO-A,BP3R284,"258,460","2,993,724",0.05%
PING AN INSURANCE GROUP CO-H,B01FLR7,"778,720","7,456,044",0.12%
PINNACLE INVESTMENT MANAGEME PNI,BD0F7H1,"220,219","5,032,000",0.08%
PINTEREST INC- CLASS A PINS,BJ2Z0H2,580,"27,167",0.00%
PIRAEUS FINANCIAL HOLDINGS S,BNC0DB0,"27,661","178,106",0.00%
PKO BANK POLSKI SA PLN1,B03NGS5,"90,139","2,106,265",0.04%
PNC FINL SVCS GROUP IN COM,2692665,"2,533","788,815",0.01%
POLYNOVO LTD,BSJBZM6,636,"1,297",0.00%
POP MART INTERNATIONAL GROUP,BN6PP37,"121,940","2,272,966",0.04%
PORSCHE AUTOMOBIL HLDG-PRF,7101069,167,"10,151",0.00%
POSTLE ITALIANE SPA PST,BYYN701,443,"10,089",0.00%
POWER ASSETS HOLDINGS LTD,6435327,"1,643","18,518",0.00%
POWER CORP CDA COM,2697701,785,"39,536",0.00%
POWER GRID CORP OF INDIA LTD,B233HS6,"346,375","2,017,111",0.03%
PPG INDS INC COM,2698470,"11,986","2,312,421",0.04%
PPL CORP COM,2680905,"1,015","53,188",0.00%
PRADA SPA EUR0.1,B4PFFW4,"154,202","1,928,513",0.03%
PRAIRIESKY ROYALTY LTD PSK,BN320L4,"40,017","1,259,649",0.02%
PREMIER INVESTMENTS LIMITED NPV,6699781,"58,090","1,866,429",0.03%
PRIMARIUS TECHNOLOGIES CO -A,CNE1000055M9 (ISIN),"2,974","12,373",0.00%
PRINCIPAL FINANCIAL GR COM,2803014,250,"31,277",0.00%
PRO MEDICUS LTD PME,6292782,"22,507","5,629,427",0.09%
PROCTER & GAMBLE CO COM,2704407,"2,577","697,779",0.01%
PROGRESS SOFTWARE CORP COM USD0.01,2705198,"14,009","1,474,056",0.02%
PROGRESSIVE CORP OHIO COM,2705024,617,"238,833",0.00%
PROLOGIS INC,B44WZD7,"1,029","175,677",0.00%
PROLOGIS PROPERTY MEXICO SA FIBRAPL,BN56JP1,"283,276","1,274,261",0.02%
PROPEL FUNERAL PARTNERS LTD,BYWQNJ3,"154,494","906,878",0.02%
PROSUS PRX,BJDS7L3,"1,667","106,915",0.00%
PROYA COSMETICS CO LTD-A,BKM3FN4,"50,233","936,032",0.02%
PRUDENTIAL FINL INC COM,2819118,462,"88,527",0.00%
PRUDENTIAL PLC,709954,"18,835","242,694",0.00%
PRYSMIAN SPA NPV,B1W4V69,270,"27,872",0.00%
PTC INC COM USD0.01,B95N910,"6,750","2,004,588",0.03%
PUBLIC BANK BHD,B012W42,"1,387,485","2,285,309",0.04%
PUBLIC STORAGE COM USD0.10,2852533,156,"75,368",0.00%
PUBLIC SVC ENTERPRISE COM,2707677,549,"74,912",0.00%
PUBLICIS GROUPE ACT,4380429,247,"42,602",0.00%
PULTE GROUP INC,2708841,195,"34,383",0.00%
PUMA SE,5064722,334,"24,787",0.00%
PURE STORAGE INC - CLASS A PSTG,BYZ62T3,351,"34,786",0.00%
PYC THERAPEUTICS LTD,B06NPT6,"212,596","280,627",0.00%
PYLON TECHNOLOGIES CO LTD-A,BQ3RX88,"16,784","147,879",0.00%
QANTAS AIRWAYS LIMITED,6710347,"2,734,722","24,530,460",0.41%
QBE INSURANCE GROUP LTD,6715740,"1,734,061","33,293,971",0.55%
QIAGEN N.V.,BMHCW17,138,"9,938",0.00%
QORIA LTD,BMXLP20,"696,243","341,159",0.01%
QORVO INC,BR9YYP4,81,"9,147",0.00%
QUALCOMM INC,2714923,"3,375","837,274",0.01%
QUANTA COMPUTER INC,6141011,"78,374","1,108,125",0.02%
QUANTA SERVICES INC COM USD0.00001,2150204,156,"79,472",0.00%
QUBE HOLDINGS LTD,B1L4BC6,"2,622,724","10,412,213",0.17%
QUEBECOR INC  -CL B CLASS'B'SUB VTG NPV,2715777,333,"11,776",0.00%
QUECTEL WIRELESS SOLUTIONS-A,BK71FL1,"9,739","146,643",0.00%
QUEENSLAND PACIFIC METALS LTD,AU0000122251 (ISIN),"461,016",0,0.00%
QUEST DIAGNOSTICS COM,2702791,113,"27,506",0.00%
RAKUTEN GROUP INC,6229597,"3,013","26,596",0.00%
RAMELIUS RESOURCES LTD NPV,6586872,"282,706","585,202",0.01%
RAMSAY HEALTH CARE LIMITED SHS,6041995,"140,478","4,852,113",0.08%
RANDSTAD HOLDING NV,5228658,68,"4,610",0.00%
RATIONAL AG NPV,5910609,6,"7,754",0.00%
RAYMOND JAMES FINANCIAL INC COM,2718992,233,"58,469",0.00%
RB GLOBAL INC,BMWGTH9,242,"35,318",0.00%
REA GROUP LIMITED,6198578,"62,836","14,660,269",0.24%
READYTECH HOLDINGS LTD,BJQP1P3,"203,647","631,305",0.01%
REALIA BUSINESS SA ORD EUR0.24,B1YJJX5,"133,267","227,341",0.00%
REALTY INCOME CORP COM USD1,2724193,825,"71,194",0.00%
RECKITT BENCKISER GROUP PLC,B24CGK7,700,"68,437",0.00%
RECORDATI SPA EUR0.5,B07DRZ5,213,"18,030",0.00%
RECRUIT HOLDINGS CO LTD 6098,BQRRZ00,"18,702","2,142,097",0.04%
REDEIA CORP SA,BD6FXN3,174,"4,788",0.00%
REDOX LTD/AUSTRALIA,BQ81P89,"187,416","854,618",0.01%
REECE LTD,6728801,"76,866","1,720,269",0.03%
REGENCY CENTERS CORP COM USD0.01,2726177,171,"20,428",0.00%
REGENERON PHARMACEUTIC COM,2730190,131,"150,275",0.00%
REGION GROUP,BPBMY63,"1,477,636","3,058,706",0.05%
REGIONS FINL CORP COM,B01R311,"1,115","42,351",0.00%
REGIS HEALTHCARE LTD,BQV68F9,"132,939","797,634",0.01%
REGIS RESOURCES LTD NPV,6476542,"226,839","578,440",0.01%
RELIANCE INC,2729068,"4,479","1,947,899",0.03%
RELIANCE INDUSTRIES LTD,6099626,"215,494","4,941,048",0.08%
RELIANCE WORLDWIDE CORP LTD RWC,BD1DM79,"932,996","4,683,639",0.08%
RELX PLC,B2B0DG9,"1,973","144,861",0.00%
REMY COINTREAU,4741714,"18,632","1,819,777",0.03%
RENAULT SA,4712798,461,"36,266",0.00%
RENESAS ELECTRONICS CORP,6635677,"1,636","34,407",0.00%
RENEWI PLC,BNR4T86,"180,754","2,957,901",0.05%
RENTOKIL INITIAL PLC,B082RF1,"3,144","25,492",0.00%
REPLIGEN CORP COM USD0.01,2731654,"10,727","2,493,828",0.04%
REPSOL SA,5669354,"1,706","33,351",0.00%
REPUBLIC SVCS INC COM,2262530,225,"73,011",0.00%
RESMED INC COM USD0.004,2732903,"4,541","1,677,305",0.03%
RESMED INC-CDI RESMED INC-CDI,6221667,"825,619","30,357,995",0.51%
RESOLUTE MINING LTD NPV,6410636,"461,897","182,449",0.00%
RESONA HOLDINGS INC NPV,6421553,"3,519","41,386",0.00%
RESTAURANT BRANDS INTERN QSR,BTF8CF0,311,"32,744",0.00%
REVVITY INC,2305844,139,"25,062",0.00%
REXEL SA EUR5,B1VP0K0,96,"3,947",0.00%
REYSAS GAYRIMENKUL YATIRIM O,B3VKHD1,"488,623","379,408",0.01%
REYSAS TICARET AS,B0YBSZ9,"343,799","353,951",0.01%
RH,BYXR425,"1,655","1,052,256",0.02%
RICHARD PIERIS & CO PLC RICH,6737603,"486,245","68,618",0.00%
RICOH COMPANY LIMITED,6738220,680,"12,655",0.00%
RIDLEY CORPORATION LIMITED SHS,6738929,"58,615","158,261",0.00%
RIGHTMOVE PLC,BGDT3G2,"150,683","1,956,193",0.03%
RINNAI CORPORATION,6740582,"12,126","406,132",0.01%
RIO TINTO LTD NPV,6220103,"215,515","25,314,383",0.42%
RIO TINTO PLC - REG,718875,"13,265","1,267,274",0.02%
RIVIAN AUTOMOTIVE INC-A,BL98841,"103,697","2,227,522",0.04%
RLX TECHNOLOGY INC-ADR,BMBKL76,"46,147","160,992",0.00%
ROBINHOOD MARKETS INC - A,BP0TQN6,642,"38,618",0.00%
ROBINSONS RETAIL HOLDINGS INC,BFTCYP4,"74,218","74,604",0.00%
ROBLOX CORP -CLASS A,BMWBC20,"41,499","3,878,083",0.06%
ROCHE HOLDING AG-BEARER AKT,7108918,60,"29,174",0.00%
ROCHE HOLDING AG-GENUSSCHEIN,7110388,"10,931","4,977,627",0.08%
ROCKCHIP ELECTRONICS CO L-A,BL58MB0,"7,436","180,037",0.00%
ROCKWELL AUTOMATION IN COM,2754060,"4,779","2,205,867",0.04%
ROCKWOOL A/S,4713490,7,"4,152",0.00%
ROGERS COMMUNICATIONS INC-B,2169051,"9,565","474,652",0.01%
ROKU INC ROKU,BZ1LFG7,128,"15,325",0.00%
ROLLINS INC COM USD1,2747305,284,"21,286",0.00%
ROPER TECHNOLOGIES INC,2749602,99,"83,502",0.00%
ROSS STORES INC COM,2746711,337,"82,348",0.00%
ROX RESOURCES LTD,B00GBJ3,"1,397,774","279,555",0.00%
ROYAL BANK OF CANADA COM,2754383,"1,539","299,601",0.00%
ROYAL CARIBBEAN CRUISES LTD COM,2754907,230,"85,577",0.00%
ROYALTY PHARMA PLC- CL A,BMVP7Y0,366,"15,067",0.00%
RPM INC/OHIO COM,2756174,105,"20,868",0.00%
RS GROUP PLC,309644,"119,769","1,651,041",0.03%
RWE AG,4768962,"7,666","369,607",0.01%
RYAN SPECIALTY HOLDINGS INC,BNXKSK3,"13,385","1,387,006",0.02%
RYANAIR HOLDINGS PLC-SP ADR,BYYN585,"28,997","2,041,447",0.03%
S F HOLDING CO LTD-A,BD73M39,"68,685","608,959",0.01%
S&P GLOBAL INC,BYV2325,"10,864","8,739,026",0.15%
SAAB AB-B,BPXZH27,193,"6,603",0.00%
SAGA PLC,BMX64W8,"263,588","643,014",0.01%
SAGAX AB-B SAGAB,B9M3PK4,271,"8,957",0.00%
SAGE GROUP PLC/THE,B8C3BL0,"1,550","39,916",0.00%
SAIC MOTOR CORPORATION LTD-A,BP3R2D9,"37,092","169,403",0.00%
SAINSBURYS J P L C ORD,B019KW7,"1,432","7,926",0.00%
SALESFORCE INC,2310525,"1,013","547,189",0.01%
SALMAR ASA NOK0.25,B1W5NW2,160,"12,306",0.00%
SAMPO OYJ-A SHS,BMXX645,331,"21,780",0.00%
SAMSARA INC-CL A,BPK3058,"70,434","4,970,148",0.08%
SAMSUNG C&T CORP,BSXN8K7,"8,056","1,014,599",0.02%
SAMSUNG E&A CO LTD,6765239,"23,768","431,569",0.01%
SAMSUNG ELECTR-GDR 144A GDR REP 1/2 ORD,B01D632,"1,453","2,136,103",0.04%
SAMSUNG ELECTRO MECHANICS,6771689,"19,093","2,593,299",0.04%
SAMSUNG ELECTRONICS CO LTD,6771720,"194,746","11,366,648",0.19%
SAMSUNG ELECTRONICS-PFD NV,6773812,"22,628","1,097,289",0.02%
SAMSUNG SDI CO LTD,6771645,"7,426","2,016,462",0.03%
SANDFIRE RESOURCES LTD,6739739,"713,208","6,618,569",0.11%
SANDOZ GROUP AG,BLPLD38,445,"29,499",0.00%
SANDS CHINA LTD,B5B23W2,"336,620","1,462,796",0.02%
SANDVIK AB ORD,B1VQ252,"1,180","34,190",0.00%
SANGFOR TECHNOLOGIES INC-A,BHQPS70,"6,316","79,756",0.00%
SANLAM LTD SLM,B0L6750,"182,343","1,355,935",0.02%
SANOFI SYNTHELABO,5671735,"1,113","174,500",0.00%
SANSURE BIOTECH INC-A,CNE1000043J1 (ISIN),624,"3,117",0.00%
SANTANA MINERALS LTD NPV,B9J8CP6,"622,200","301,767",0.01%
SANTOS LIMITED NPV,6776703,"3,806,948","25,430,410",0.42%
SANY HEAVY INDUSTRY CO LTD-A,BP3R3H0,"6,495","23,549",0.00%
SAP SE,4846288,"11,827","4,674,183",0.08%
SAPUTO INC,2112226,196,"5,506",0.00%
SARTORIUS AG-VORZUG SRT3,5843329,"7,497","2,698,172",0.04%
SARTORIUS STEDIM BIOTECH,BYZ2QP5,30,"9,536",0.00%
SAYONA MINING LTD,BBX4LR9,"6,607,111","178,392",0.00%
SBA COMMUNICATIONS CORP-CL A,BZ6TS23,129,"42,327",0.00%
SBERBANK-SPONSORED ADR,B5SC091,"27,672",0,0.00%
SBI HOLDINGS INC,6309466,286,"11,692",0.00%
SCB X PCL-FOREIGN,BPH0717,"50,623","280,573",0.00%
SCENTRE GROUP SMART COMMUNICATIONS GROUP,BLZH0Z7,"1,779,692","6,104,343",0.10%
SCHINDLER HOLDING AG-REG CHF0.1(REGD)(PO,B11WWH2,-3,"-1,301",0.00%
SCHINDLER HOLDING-PART CERT PTG CERT CHF,B11TCY0,66,"29,263",0.00%
SCHLUMBERGER LTD COM,2779201,"1,412","87,410",0.00%
SCHNEIDER ELECTRIC SE,4834108,603,"243,133",0.00%
SCHRODERS PLC,BP9LHF2,-100,-654,0.00%
SCHWAB CHARLES CORP NE COM,2779397,"38,462","4,597,503",0.08%
SCORPIO TANKERS INC,BHXD297,"6,288","504,643",0.01%
SCOUT24 SE,BYT9340,40,"5,758",0.00%
SCP POOL CORP COM,2781585,"2,972","1,636,817",0.03%
SCREEN HOLDINGS CO LTD,6251028,82,"8,030",0.00%
SCSK CORP,6858474,-76,"-2,593",0.00%
SD GUTHRIE BD,BF6RHY2,"132,403","236,731",0.00%
SDIC ESSENCE HOLDINGS CO L-A,BYYFJ78,"44,721","73,986",0.00%
SEA LTD-ADR SE,BYWD7L4,"44,873","7,689,646",0.13%
SEADRILL LIMITED,BNTBRX6,"16,718","1,051,145",0.02%
SEAGATE TECHNOLOGY HOLDINGS,BKVD2N4,"3,683","513,369",0.01%
SEB SA EUR3,4792132,0,61,0.00%
SECOM CO LTD,6791591,"17,823","983,403",0.02%
SECURITAS AB-B SHS,5554041,"1,003","20,068",0.00%
SEEK LTD NPV,B0767Y3,"510,351","11,518,616",0.19%
SEGRO PLC ORD GBP0.27083333,B5ZN1N8,898,"12,738",0.00%
SEI INVESTMENTS COMPANY COM USD0.01,2793610,78,"10,349",0.00%
SEIKO EPSON CORP,6616508,151,"4,457",0.00%
SEKISUI CHEMICAL CO,6793821,430,"11,994",0.00%
SEKISUI HOUSE LTD SHS,6793906,457,"17,763",0.00%
SEKISUI JUSHI CORP NPV,6793843,"22,517","491,282",0.01%
SELECT HARVESTS LIMITED NPV,6260723,"288,682","1,226,898",0.02%
SEMBCORP INDUSTRIES LIMITED,B08X163,"1,175","7,678",0.00%
SEMPRA ENERGY COM,2138158,656,"92,938",0.00%
SENDAS DISTRIBUIDORA SA,BMZ9R04,"985,019","1,449,842",0.02%
SERVICE CORP INTL COM,2797560,"33,403","4,306,312",0.07%
SERVICE STREAM LTD NPV,B04KLG8,"865,907","1,350,816",0.02%
SERVICENOW INC COM USD0.001,B80NXX8,461,"788,521",0.01%
SEVEN & I HOLDINGS CO LTD NPV,B0FS5D6,"2,272","58,062",0.00%
SEVERN TRENT PLC,B1FH8J7,737,"37,395",0.00%
SG HOLDING CO LTD,BFFY885,"1,184","18,331",0.00%
SGH LTD,AU0000364754 (ISIN),"247,090","11,393,326",0.19%
SGS SA-REG,CH1256740924,157,"25,357",0.00%
SHANDONG HIMILE MECHANICAL-A 'A'CNY1,BD5CFQ2,"45,367","500,932",0.01%
SHANDONG HI-SPEED CO LTD -A,BP3R745,"140,651","318,093",0.01%
SHANDONG LINGLONG TYRE CO -A,BYW5N12,"47,405","188,140",0.00%
SHANDONG NANSHAN ALUMINUM-A,BP3R9D8,"1,256,632","1,080,947",0.02%
SHANDONG PUBLISHING & MEDI-A,BFYQHB8,"66,877","166,990",0.00%
SHANGHAI CONSTRUCTION CO-A,BP3R6J3,"246,915","143,951",0.00%
SHANGHAI HIUV NEW MATERIAL-A,CNE100004BY5 (ISIN),558,"4,148",0.00%
SHANGHAI JUNSHI BIOSCIENCE-A,BLCD7F7,"7,003","42,106",0.00%
SHANGHAI PHARMACEUTICALS-A,BP3R4Z5,"33,503","154,782",0.00%
SHANGHAI PUDONG DEVEL BANK-A,BP3R2B7,"505,092","1,143,418",0.02%
SHANGHAI SMI HOLDING CO LTD,CNE0000005R5 (ISIN),"14,046","13,751",0.00%
SHANGHAI V-TEST SEMICONDUC-A,CNE100005NK6 (ISIN),"3,805","48,991",0.00%
SHANGHAI ZHENHUA HEAVY IND-A,CNE000001683 (ISIN),"11,082","9,557",0.00%
SHELF DRILLING LTD,BDVKB40,"163,023","218,272",0.00%
SHELL PLC-NEW,BP6MXD8,"20,598","1,031,616",0.02%
SHENNAN CIRCUITS CO LTD-A,BFY8GV7,"7,005","192,633",0.00%
SHENZHEN CHIPSCREEN BIOSCI-A,CNE100003LW0 (ISIN),"2,234","9,132",0.00%
SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,"72,610","935,768",0.02%
